SiteID,Year,VisitID,Fall.ppt,Winter.ppt,Spring.ppt,Fall.tmin,Winter.tmin,Spring.tmin,Fall.tmax,Winter.tmax,Spring.tmax,Fall.tmean,Spring.tmean,Winter.tmean
1F001,1982,1F001_1982,62.87,78.37666667,86.26666667,5.763333333,-6.3,4.366666667,17.69,3.593333333,17.72333333,11.72666667,11.045,-1.353333334
1F001,1983,1F001_1983,81.72333333,59.62333333,155.22,6.856666667,-3.566666667,4.66,18.97,6.543333333,15.69,12.91333333,10.175,1.488333333
1F001,1984,1F001_1984,138.0666667,114.2,141.4033333,6.513333333,-5.163333333,3.693333333,19.09,4.72,15.13666667,12.80166667,9.415000002,-0.221666667
1F001,1985,1F001_1985,74.45,60.50666667,68.76666667,7.163333333,-4.03,5.733333333,18.77666667,6.473333333,19.13333333,12.97,12.43333333,1.221666667
1F001,1986,1F001_1986,154.7466667,53.43333333,58.95666667,8.336666667,-5.653333333,4.47,20.26333333,4.81,18.22,14.3,11.345,-0.421666667
1F001,1987,1F001_1987,68.19666667,91.89666667,109.15,6.676666667,-5.143333333,4.63,18.82,5.266666667,17.34666667,12.74833333,10.98833334,0.061666667
1F001,1988,1F001_1988,135.0666667,57.86,112.3,6.15,-5.246666667,4.34,18.48,5.48,17.53333333,12.315,10.93666667,0.116666667
1F001,1989,1F001_1989,81.67,50.41333333,133.0166667,5.083333333,-4.163333333,3.85,18.21666667,7.403333333,16.45,11.65,10.15,1.62
1F001,1990,1F001_1990,98.49333333,58.59,113.0933333,6.626666667,-4.763333333,4.953333333,19.07666667,7.33,18.01333333,12.85166667,11.48333333,1.283333334
1F001,1991,1F001_1991,105.6266667,74.47666667,74.52666667,7.316666667,-3,6.62,20.22,8.503333333,19.10333333,13.76833333,12.86166667,2.751666667
1F001,1992,1F001_1992,55.46666667,81.3,109.96,5.916666667,-3.046666667,4.18,19.69333333,7.736666667,16.04333333,12.805,10.11166667,2.345
1F001,1993,1F001_1993,124.6533333,94.27666667,148.6866667,6.266666667,-4.023333333,3.963333333,18.06,5.546666667,16.36666667,12.16333333,10.165,0.761666667
1F001,1994,1F001_1994,120.2833333,107.9733333,128.09,6.61,-5.923333333,4.096666667,18.24,3.266666667,17.01333333,12.425,10.555,-1.328333333
1F001,1995,1F001_1995,64.62,65.73666667,73.41,6.59,-3.58,4.736666667,19.66,6.136666667,17.23333333,13.125,10.985,1.278333334
1F001,1996,1F001_1996,127.8333333,109.1,110.4533333,6.226666667,-5.253333333,3.76,17.97666667,4.15,15.73333333,12.10166667,9.746666665,-0.551666667
1F001,1997,1F001_1997,181.9333333,69.68,71.99,6.55,-3.006666667,3.753333333,16.41666667,7.056666667,16.07333333,11.48333334,9.913333332,2.025
1F001,1998,1F001_1998,141.2833333,142.2433333,121.67,6.636666667,-1.033333333,6.436666667,17.25333333,7.42,17.53333333,11.945,11.985,3.193333334
